Sample ID,Treatment,Treatment Details,Barcode,antibody,replicate,Flag,Normalized
BJ_01,Untreated,Untreated rep 1,21403,AP7627a,1,0,1142
BJ_01,Untreated,Untreated rep 1,21403,AP7627b,0,0,2082
BJ_01,Untreated,Untreated rep 1,21403,AP7627b,1,0,1915
BJ_01,Untreated,Untreated rep 1,21403,AP7628a,0,0,2234
BJ_01,Untreated,Untreated rep 1,21403,AP7628a,1,0,2234
BJ_01,Untreated,Untreated rep 1,21403,AP7628b,0,0,2537
BJ_01,Untreated,Untreated rep 1,21403,AP7628b,1,0,2265
BJ_01,Untreated,Untreated rep 1,21403,AP7629a,0,0,804
BJ_01,Untreated,Untreated rep 1,21403,AP7629a,1,0,616
BJ_01,Untreated,Untreated rep 1,21403,AP7629b,0,0,1013
BJ_01,Untreated,Untreated rep 1,21403,AP7629b,1,0,1190
BJ_01,Untreated,Untreated rep 1,21403,AP7631a,0,0,1075
BJ_01,Untreated,Untreated rep 1,21403,AP7631a,1,0,1063
BJ_01,Untreated,Untreated rep 1,21403,AP7636a,0,0,2905
BJ_01,Untreated,Untreated rep 1,21403,AP7636a,1,0,2013
BJ_01,Untreated,Untreated rep 1,21403,AP7637b,0,0,1129
BJ_01,Untreated,Untreated rep 1,21403,AP7637b,1,0,1134
BJ_01,Untreated,Untreated rep 1,21403,AP7638a,0,0,1274
BJ_01,Untreated,Untreated rep 1,21403,AP7638a,1,0,1227
BJ_01,Untreated,Untreated rep 1,21403,AP7639a,0,0,1115
BJ_01,Untreated,Untreated rep 1,21403,AP7639a,1,0,1332
BJ_01,Untreated,Untreated rep 1,21403,AP7642a,0,0,980
BJ_01,Untreated,Untreated rep 1,21403,AP7642a,1,0,813
BJ_01,Untreated,Untreated rep 1,21403,AP7642b,0,0,1457
BJ_01,Untreated,Untreated rep 1,21403,AP7642b,1,0,1872
BJ_01,Untreated,Untreated rep 1,21403,AP7643a,0,0,1063
BJ_01,Untreated,Untreated rep 1,21403,AP7643a,1,0,427
BJ_01,Untreated,Untreated rep 1,21403,AP7644a,0,0,2093
BJ_01,Untreated,Untreated rep 1,21403,AP7644a,1,0,2018
BJ_01,Untreated,Untreated rep 1,21403,AP7644b,0,0,1904
BJ_01,Untreated,Untreated rep 1,21403,AP7644b,1,0,1850
BJ_01,Untreated,Untreated rep 1,21403,AP7649a,0,0,2662
BJ_01,Untreated,Untreated rep 1,21403,AP7649a,1,0,2245
BJ_01,Untreated,Untreated rep 1,21403,AP7651b,0,0,697
BJ_01,Untreated,Untreated rep 1,21403,AP7651b,1,0,792
BJ_01,Untreated,Untreated rep 1,21403,AP7677b,0,0,144
BJ_01,Untreated,Untreated rep 1,21403,AP7677b,1,0,163
BJ_01,Untreated,Untreated rep 1,21403,AP7684a,0,0,250
BJ_01,Untreated,Untreated rep 1,21403,AP7684a,1,0,238
BJ_01,Untreated,Untreated rep 1,21403,AP7697a,0,0,2162
BJ_01,Untreated,Untreated rep 1,21403,AP7697a,1,0,1789
BJ_01,Untreated,Untreated rep 1,21403,AP7701a,0,0,4314
BJ_01,Untreated,Untreated rep 1,21403,AP7701a,1,0,3824
BJ_01,Untreated,Untreated rep 1,21403,AP7703a,0,0,561
BJ_01,Untreated,Untreated rep 1,21403,AP7703a,1,0,644
